variable,mutual_info,f_score,f_p_value
curvatura,0.517563464269484,3.0658922099853583,0.08115842690744661
cobertura,0.12421371301610551,0.32178652013883124,0.5710369798940367
geomorfologia,0.11824327431603388,6.290627815128167,0.012762063145272312
uso_actual,0.11060674159606948,22.418042075563385,3.648095920328937e-06
geologia,0.10000928674573775,0.12445708063637999,0.7245423910535279
dist_drenajes,0.06573523528540992,0.4976214422757225,0.48119352732396325
pendiente,0.04741829910478734,4.667561341159429,0.03167296040919416
flujo_acum,0.04552546378192002,0.06668603930988257,0.796433584936397
elevacion,0.01889388561716876,7.2059836141251665,0.0077440949201348875
aspecto,0.009684149637526618,19.870330658934385,1.2443445808923329e-05
