variable,n_categorias,chi2,p_chi2,rango_proporcion
cobertura,12,58.573315268251974,1.704778495627356e-08,1.0
uso_actual,7,52.902763427212335,1.2273974946490806e-09,1.0
geologia,6,47.03725006570368,5.582982536164444e-09,0.9090909090909091
geomorfologia,12,55.58053923468355,6.066603077259308e-08,0.8823529411764706
