variable,clase,Npix1_conMenM_enClase,Npix2_conMenM_fueraClase,Npix3_sinMenM_enClase,Npix4_sinMenM_fueraClase,W_positivo,W_negativo,Contraste_C,S_C,Contraste_estudentizado,Significancia,Corregida_log0,Confiable
geomorfologia,7.0,1,126,5474,261603,-0.9567,0.0128,-0.9695,1.0040532915592677,-0.9655861976154599,No significativo,False,True
elevacion,3.0,36,91,88964,178113,-0.1614,0.0718,-0.2332,0.19693563334726055,-1.1841432453658285,Marginal / debil,False,True
geomorfologia,2.0,6,121,20608,246469,-0.4906,0.0319,-0.5225,0.41831054448422134,-1.249072027682794,Marginal / debil,False,True
uso_actual,30202.0,8,119,26345,240732,-0.4485,0.0388,-0.4873,0.36530189324486345,-1.3339651641864354,Marginal / debil,False,True
geomorfologia,6.0,10,117,31424,235653,-0.4016,0.0432,-0.4448,0.329519460556063,-1.34984440448343,Marginal / debil,False,True
cobertura,7.0,2,125,12834,254243,-1.1156,0.0334,-1.149,0.7127986049896552,-1.6119560166881575,Marginal / debil,False,True
geomorfologia,4.0,4,123,18387,248690,-0.782,0.0393,-0.8213,0.5081225133984694,-1.6163424732096785,Marginal / debil,False,True
pendiente,4.0,18,109,55301,211776,-0.3791,0.0792,-0.4582,0.25446546388103325,-1.8006372771049826,Marginal / debil,False,True
aspecto,3.0,30,97,83798,183279,-0.2839,0.1071,-0.3909,0.20894975784945033,-1.8707846518857707,Marginal / debil,False,True
geologia,1.0,1,126,13888,253189,-1.8877,0.0455,-1.9332,1.0039982381276709,-1.925501386939854,Marginal / debil,False,True
geomorfologia,3.0,4,123,21408,245669,-0.9341,0.0515,-0.9857,0.5081150099418208,-1.9399151387259013,Marginal / debil,False,True
dist_drenajes,2.0,39,88,106269,160808,-0.2591,0.1405,-0.3995,0.19240657650588133,-2.0763323544077945,Significativo (95%),False,True
curvatura,1.0,23,104,71431,195646,-0.3899,0.1114,-0.5013,0.23046204954691818,-2.175195443178352,Significativo (95%),False,True
geomorfologia,9.0,19,108,62284,204793,-0.4439,0.1035,-0.5474,0.2488207721911338,-2.199977096685119,Significativo (95%),False,True
aspecto,4.0,14,113,59831,207246,-0.7091,0.1368,-0.8459,0.28337196028895484,-2.9851224487328754,Significativo (95%),False,True
elevacion,2.0,23,104,89284,177793,-0.613,0.2071,-0.8201,0.23045708975510945,-3.5585800413927933,Significativo (95%),False,True
geologia,3.0,30,97,108052,159025,-0.5381,0.249,-0.7871,0.20894533927929168,-3.7670139124180433,Significativo (95%),False,True
cobertura,1.0,17,110,79067,188010,-0.7937,0.2073,-1.0011,0.2606384562380955,-3.8409527682495423,Significativo (95%),False,True
uso_actual,30204.0,18,109,83444,183633,-0.7905,0.2218,-1.0122,0.2544549021174428,-3.9779151102100694,Significativo (95%),False,True
