modelo_A,AUC_A,modelo_B,AUC_B,diferencia_AUC,z,p_valor,significativo_p<0.05
AHP+Combinado,0.667266845703125,WoE,0.81884765625,-0.151580810546875,-4.212631242153882,2.524129636838346e-05,True
AHP+Combinado,0.667266845703125,Regresión Logística (completo),0.86895751953125,-0.201690673828125,-5.769806480561828,7.936261647856213e-09,True
WoE,0.81884765625,Regresión Logística (completo),0.86895751953125,-0.05010986328125,-2.7517579741654368,0.005927631150607127,True
