Y,score_AHP_Combinado,score_Indices
1,0.46060605,0.4620950000000001
1,0.40955492000000004,0.39780200000000004
1,0.5264094699999999,0.5079920000000001
1,0.44091604999999995,0.4352450000000001
1,0.48878041999999994,0.481385
1,0.44854395999999996,0.44566400000000006
1,0.5743656199999999,0.575526
1,0.7413101999999999,0.7037230000000001
1,0.46766073999999996,0.455952
1,0.50038832,0.4984430000000001
1,0.5135301999999999,0.49772299999999997
1,0.51055085,0.49339700000000003
1,0.35456351999999997,0.34114099999999997
1,0.40671212,0.42190500000000003
1,0.51062522,0.49468700000000004
1,0.5169054599999999,0.5104380000000001
1,0.53736546,0.5164380000000002
1,0.38725048999999995,0.39202299999999995
1,0.51143049,0.47802300000000003
1,0.27114309,0.27457200000000004
1,0.45320709,0.4373820000000001
1,0.4124607399999999,0.39595199999999997
1,0.48637832000000003,0.48044300000000006
1,0.45074947,0.441992
1,0.40658947,0.393992
1,0.44659605,0.4440950000000001
1,0.4971816,0.482384
1,0.7267901999999999,0.7097229999999999
1,0.6244601999999999,0.595723
1,0.6465401999999999,0.619723
1,0.6384702,0.613723
1,0.7569402,0.7397230000000001
1,0.5913401999999999,0.559723
1,0.6971501999999999,0.6557230000000001
1,0.6968909999999999,0.6542650000000001
1,0.6322709999999999,0.600265
1,0.5994102,0.565723
1,0.6325301999999999,0.601723
1,0.5024901999999999,0.485723
1,0.6018502,0.593723
1,0.51062522,0.49468700000000004
1,0.34482665,0.351837
1,0.41783807,0.40933099999999994
1,0.48544745000000006,0.488756
1,0.5216918199999999,0.514046
1,0.47477041999999997,0.463385
1,0.49685041999999996,0.487385
1,0.49685041999999996,0.487385
1,0.5059582199999999,0.501675
1,0.52803822,0.525675
1,0.5869180599999999,0.592587
1,0.41840848999999997,0.4368930000000001
1,0.5281541700000001,0.534842
1,0.3728939699999999,0.3837029999999999
1,0.5135301999999999,0.49772299999999997
1,0.613161,0.582265
1,0.66878856,0.639571
1,0.6497904200000001,0.637385
1,0.62126042,0.625385
1,0.6274301999999999,0.601723
1,0.50812562,0.503526
1,0.4596309799999999,0.45744299999999993
1,0.6465401999999999,0.619723
1,0.53294042,0.529385
1,0.54318197,0.5381750000000001
1,0.42795042,0.443385
1,0.4739359,0.47396600000000005
1,0.45781952,0.45688100000000004
1,0.44584925,0.44438599999999995
1,0.53487562,0.533526
1,0.42091562,0.449526
1,0.54421562,0.545526
1,0.43084561999999993,0.41952599999999995
1,0.5302056199999999,0.527526
1,0.52497546,0.516438
1,0.42805546,0.436438
1,0.5059582199999999,0.501675
1,0.5137690199999999,0.506217
1,0.35583049000000005,0.35602300000000003
1,0.48290049,0.466023
1,0.35012569,0.354721
1,0.39999049,0.4040230000000001
1,0.52157546,0.516438
1,0.50419562,0.5255259999999999
1,0.54171684,0.5150720000000001
1,0.42409266,0.415733
1,0.35286145999999996,0.337295
1,0.44495185,0.4485349999999999
1,0.56639185,0.580535
1,0.46623146000000004,0.463295
1,0.53892146,0.523295
1,0.52547665,0.5038370000000001
1,0.49532665,0.47383700000000006
1,0.44149605000000003,0.44409499999999996
1,0.70835856,0.663571
1,0.34866073999999997,0.35195200000000004
1,0.44558074,0.431952
1,0.5295659599999999,0.479422
1,0.48515073999999997,0.455952
1,0.37029709000000005,0.375382
1,0.42879417000000003,0.426842
1,0.5700570899999999,0.5453820000000001
1,0.43454074,0.419952
1,0.5358820599999999,0.535947
1,0.42080352000000004,0.413141
1,0.6934616,0.6703840000000001
1,0.690441,0.6662650000000001
1,0.4916185599999999,0.46957099999999996
1,0.6077902,0.605723
1,0.4599702,0.45772300000000005
1,0.6465401999999999,0.619723
1,0.5606928,0.5548219999999999
1,0.7127802,0.6917230000000001
1,0.7047102,0.6857230000000001
1,0.6495428,0.628822
1,0.6077902,0.605723
1,0.6384702,0.613723
1,0.49442020000000003,0.47972299999999996
1,0.7111601999999999,0.6737230000000001
1,0.6493015999999999,0.622384
1,0.6493015999999999,0.622384
1,0.6018502,0.593723
1,0.5994102,0.565723
1,0.6325301999999999,0.601723
1,0.47477041999999997,0.463385
1,0.56954042,0.547385
1,0.56954042,0.547385
1,0.44468049,0.430023
0,0.49819019999999997,0.493723
0,0.48173492,0.481802
0,0.49819019999999997,0.493723
0,0.42616351999999996,0.41629100000000013
0,0.42616351999999996,0.41629100000000013
0,0.47141352000000003,0.4491410000000001
0,0.4531571299999999,0.44085300000000005
0,0.33883347999999996,0.33828299999999994
0,0.36305712999999995,0.362853
0,0.39999049,0.40402299999999997
0,0.41528712999999995,0.41685300000000003
0,0.42936347999999996,0.410283
0,0.41444413999999996,0.422593
