paso,accion,variable,variables_en_modelo,n_variables,AIC,pseudo_R2_McFadden,delta_AIC,LR_estadistico,LR_gl,LR_p_valor
0,inicio,(ninguna),(ninguna),0,356.89,0.0,,,,
1,agregar,uso_actual,uso_actual,1,315.02,0.1405,-41.87,49.867,4.0,3.8486962010824304e-10
2,agregar,geologia,"uso_actual, geologia",2,290.82,0.2313,-24.21,32.209,4.0,1.7341967502161727e-06
3,agregar,geomorfologia,"uso_actual, geologia, geomorfologia",3,273.43,0.3366,-17.38,37.383,10.0,4.857727606304234e-05
4,agregar,curvatura,"uso_actual, geologia, geomorfologia, curvatura",4,269.21,0.3541,-4.22,6.222,1.0,0.012615447623079703
5,agregar,dist_drenajes,"uso_actual, geologia, geomorfologia, curvatura, dist_drenajes",5,268.93,0.3606,-0.28,2.275,1.0,0.13143958796163166
