termino,coeficiente,error_estandar,z,p_valor,odds_ratio,OR_IC95_inf,OR_IC95_sup,significativo_p<0.05
Intercept,-2.6559108674822025,1.5319661304250016,-1.733661609571873,0.08297814198550105,0.07023483489295437,0.0034877121273061587,1.4143747684390064,False
C(uso_actual)[T.30204.0],-0.20083419274610426,0.6255417206780829,-0.32105643174111775,0.748167626294878,0.8180480586117268,0.24005830777082998,2.787667014787362,False
C(uso_actual)[T.30206.0],1.532700227399437,0.663278068994866,2.3107958773943733,0.020844132340396185,4.63066380114489,1.2620016864309158,16.99129840299739,True
C(uso_actual)[T.30207.0],1.1155366126331607,0.685269247149286,1.6278807450849182,0.10355017496116259,3.051205055138197,0.7964695090819126,11.688899803876131,False
C(uso_actual)[T.30213.0],3.092783222961993,0.8522998822484786,3.628750029629039,0.0002847968377279826,22.038330283697995,4.146672269166775,117.12717334928273,True
C(geologia)[T.2.0],3.2734323969238823,1.4380626393269855,2.276279424417737,0.022829290803181284,26.401805472505067,1.5759864856919745,442.2977852515908,True
C(geologia)[T.3.0],0.9880195006409987,1.4795123007654938,0.6678008017437917,0.5042607547326075,2.6859097587382608,0.14781832049082766,48.803904740164256,False
C(geologia)[T.4.0],-0.04054301481485587,1.8119571176892226,-0.022375261764781787,0.982148613662773,0.9602678578789021,0.02754556580877778,33.47596361885188,False
C(geologia)[T.6.0],3.1902411599389673,1.5076225978683557,2.116074118582253,0.034338504301790314,24.294285545115716,1.2653581009050783,466.4389548898884,True
C(geomorfologia)[T.2.0],0.560310736590749,0.9147417859887306,0.6125343186166111,0.5401842992951332,1.751216582829159,0.29154811723826873,10.518879521590316,False
C(geomorfologia)[T.3.0],-0.11688049365832426,0.9096919641327537,-0.12848359474050228,0.8977662801178148,0.8896915105881319,0.14959195668167158,5.29140069808028,False
C(geomorfologia)[T.4.0],-2.3670928798727333,0.9598816633533466,-2.466025730300227,0.01366215198128172,0.09375288138104866,0.014286698213649099,0.615229819781008,True
C(geomorfologia)[T.5.0],3.119667834607646,1.5666106626057132,1.991348526518237,0.04644258396925269,22.638858548788605,1.050396128335221,487.9282230451014,True
C(geomorfologia)[T.6.0],-2.3278771060853316,0.7816026958717001,-2.9783381229118127,0.0028981607367571,0.09750251503450527,0.021072419205647695,0.4511461330223531,True
C(geomorfologia)[T.7.0],-1.561231211959181,1.4017467104282395,-1.1137755489950236,0.26537548903923813,0.2098775083623391,0.013452312160753667,3.274423607630281,False
C(geomorfologia)[T.9.0],-1.3978192068077278,0.7568830603469208,-1.8468100028121002,0.06477468164912956,0.24713532773849178,0.05606280237766388,1.0894187879688495,False
C(geomorfologia)[T.10.0],0.5015282791625344,0.8234604464394462,0.6090496287114802,0.5424915438357686,1.6512429034515597,0.3287609005241161,8.293574819427555,False
C(geomorfologia)[T.12.0],-1.2990609875045882,0.9350323070251246,-1.3893220349119788,0.16473484633792557,0.27278782398238555,0.04364394891621417,1.7050060491982597,False
C(geomorfologia)[T.9999.0],-0.19501396035329832,1.1234775873681633,-0.17358064152408614,0.8621950468747684,0.8228231710736672,0.09099146491263892,7.440675578811161,False
curvatura,0.17086445964527652,0.07025012162261879,2.4322300901221845,0.01500617118267802,1.186329942542843,1.0337332368455243,1.3614525318624502,True
dist_drenajes,0.000991093819800965,0.0006636909788345119,1.4933061491078203,0.13535706671266445,1.0009915851155742,0.9996903313616547,1.0022945326553379,False
