clase,probabilidad_min,probabilidad_max
Muy baja,0.0,0.16033976078033446
Baja,0.16033976078033446,0.3208396196365357
Media,0.3208396196365357,0.6118484020233155
Alta,0.6118484020233155,0.8713335633277893
Muy alta,0.8713335633277893,1.0
